dealership,state,city,channel,url,source
Greenway CDJR of Anniston,AL,Anniston,Website,https://www.greenwaycdjrofanniston.com/,sheet
Greenway CDJR of Anniston,AL,Anniston,Facebook,https://www.facebook.com/GreenwayCDJRanniston,sheet
Greenway CDJR of Anniston,AL,Anniston,Instagram,https://www.instagram.com/greenwaycdjranniston/,web-2026-08-22
Greenway CDJR of Anniston,AL,Anniston,TikTok,https://www.tiktok.com/@greenway.cdjr.anniston,web-2026-08-22
Greenway Hyundai of Decatur,AL,Decatur,Website,https://www.greenwayhyundaiofdecatur.com/,sheet
Greenway Hyundai of Decatur,AL,Decatur,Facebook,https://www.facebook.com/hyundaiofdecatur/,sheet
Greenway Hyundai of Decatur,AL,Decatur,Instagram,https://www.instagram.com/decaturhyundai/,sheet
Greenway Hyundai of Decatur,AL,Decatur,X,https://x.com/HyundaiDecatur,sheet
Greenway Hyundai of Decatur,AL,Decatur,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Opelika Ford Chrysler,AL,Opelika,Website,https://www.opelikafordchrysler.com/,sheet
Opelika Ford Chrysler,AL,Opelika,Website (alt),https://www.opelika-ford.com/,web-2026-08-22
Opelika Ford Chrysler,AL,Opelika,Facebook,https://www.facebook.com/Opelika-Ford-347201788715930/,sheet
Opelika Ford Chrysler,AL,Opelika,Facebook (2nd),https://www.facebook.com/opelikaCDJRdealer,web-2026-08-22
Opelika Ford Chrysler,AL,Opelika,Facebook (3rd),https://www.facebook.com/p/Opelika-Ford-CDJR-100063496604806/,web-2026-08-22
Opelika Ford Chrysler,AL,Opelika,Instagram,NO ACCOUNT FOUND,web-2026-08-22
Opelika Ford Chrysler,AL,Opelika,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Kia of Riverchase,AL,Pelham,Website,https://www.greenwaykiariverchase.com/,sheet
Greenway Kia of Riverchase,AL,Pelham,Facebook,https://www.facebook.com/GreenwayKiaofRiverchase/,sheet
Greenway Kia of Riverchase,AL,Pelham,Facebook (2nd),https://www.facebook.com/RiverchaseKiaAL/,web-2026-08-22
Greenway Kia of Riverchase,AL,Pelham,Instagram,https://www.instagram.com/riverchasekia/,sheet
Greenway Kia of Riverchase,AL,Pelham,LinkedIn,https://www.linkedin.com/company/riverchase-kia,sheet
Greenway Kia of Riverchase,AL,Pelham,X,https://twitter.com/riverchasekia,sheet
Greenway Kia of Riverchase,AL,Pelham,YouTube,https://www.youtube.com/c/RiverchaseKiaPelham,web-2026-08-22
Greenway Kia of Riverchase,AL,Pelham,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Team One Chevrolet of Gadsden,AL,Gadsden,Website,https://www.chevroletofgadsden.net/,sheet
Team One Chevrolet of Gadsden,AL,Gadsden,Facebook,https://www.facebook.com/ChevroletofGadsden/,sheet
Team One Chevrolet of Gadsden,AL,Gadsden,TikTok,https://www.tiktok.com/@teamonechevroletgadsden,sheet
Team One Chevrolet of Gadsden,AL,Gadsden,Instagram,NO ACCOUNT FOUND,web-2026-08-22
Team One CDJR of Gadsden,AL,Gadsden,Website,https://www.team1dodge.net/,sheet
Team One CDJR of Gadsden,AL,Gadsden,Website (alt),https://www.team1cdjr.com/,web-2026-08-22
Team One CDJR of Gadsden,AL,Gadsden,Facebook,https://www.facebook.com/CDJRofGadsden/,sheet
Team One CDJR of Gadsden,AL,Gadsden,YouTube,https://www.youtube.com/user/ChryslerofGadsden,sheet
Team One CDJR of Gadsden,AL,Gadsden,Instagram,NO ACCOUNT FOUND,web-2026-08-22
Team One CDJR of Gadsden,AL,Gadsden,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Team One Hyundai of Gadsden,AL,Rainbow City,Website,https://www.hyundaiofgadsden.com/,sheet
Team One Hyundai of Gadsden,AL,Rainbow City,Facebook,https://www.facebook.com/hyundaiofgadsden/,sheet
Team One Hyundai of Gadsden,AL,Rainbow City,LinkedIn,https://www.linkedin.com/company/team-one-hyundai-of-gadsden,web-2026-08-22
Team One Hyundai of Gadsden,AL,Rainbow City,Instagram,NO ACCOUNT FOUND,web-2026-08-22
Team One Hyundai of Gadsden,AL,Rainbow City,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Team One Nissan of Albertville,AL,Albertville,Website,https://www.nissanofalbertville.net/,sheet
Team One Nissan of Albertville,AL,Albertville,Facebook,https://www.facebook.com/albertvillenissan/,sheet
Team One Nissan of Albertville,AL,Albertville,Facebook (salesperson),https://www.facebook.com/Ro4Nissan/,web-2026-08-22
Team One Nissan of Albertville,AL,Albertville,YouTube,https://www.youtube.com/@NissanofAlbertville,web-2026-08-22
Team One Nissan of Albertville,AL,Albertville,Instagram,NO ACCOUNT FOUND,web-2026-08-22
Team One Nissan of Albertville,AL,Albertville,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Team One Toyota,AL,Rainbow City,Website,https://www.teamonetoyota.com/,sheet
Team One Toyota,AL,Rainbow City,Facebook,https://www.facebook.com/teamonetoyota,sheet
Team One Toyota,AL,Rainbow City,Instagram,https://www.instagram.com/teamonetoyota/,web-2026-08-22
Team One Toyota,AL,Rainbow City,YouTube,https://www.youtube.com/channel/UClQGSSU2v9D-ZLxqYgxtHaQ,web-2026-08-22
Team One Toyota,AL,Rainbow City,TikTok,NO ACCOUNT FOUND,web-2026-08-22
University Kia,AL,Huntsville,Website,https://www.universitykia.com/,sheet
University Kia,AL,Huntsville,Facebook,https://www.facebook.com/universitykiahsv,sheet
University Kia,AL,Huntsville,Instagram (OLD ACCOUNT - now displays as Huntsville Kia),https://www.instagram.com/universitykiahuntsville/,web-2026-08-22
University Kia,AL,Huntsville,X,https://twitter.com/universitykiah,sheet
University Kia,AL,Huntsville,YouTube,https://www.youtube.com/channel/UCkfV2DFA1zytx0U6Lg8X3VA,sheet
University Kia,AL,Huntsville,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Alfa Romeo of East Orlando,FL,Orlando,Website,https://www.alfaromeousaofeastorlando.com/,sheet
